dependency_id,name,owner,needed_by_milestone,related_slice_refs,related_task_refs,mitigation,risk_if_late,status,activation_posture
DEP-001,Product goal and metric baseline,platform,stakeholder aligned,VS-00,TASK-0582,Maintain MASTER_Product_Goal_and_Metrics.md and Product_Goal_Metric_Stack.csv as repo planning source; regenerate progress data on every closeout,Metrics drift or velocity-only pressure can create false-green delivery claims,satisfied,planning_only_no_capex_activation
DEP-002,Vertical-slice ladder baseline,platform,stakeholder aligned,VS-00;VS-01;VS-02;VS-03;VS-04;VS-05,TASK-0583,Keep Vertical_Slice_Ladder.csv metric-linked with entry and exit gates before adding cadence overlays,Future work can claim roadmap progress without proving a vertical learning or safety claim,satisfied,planning_only_no_capex_activation
DEP-003,Source and evidence governance,architecture,architecture proven,VS-01;VS-02,TASK-0564;TASK-0652;TASK-0589;TASK-0590;TASK-0591,Use SourceRef resolver evidence and fixture-governance tasks before source-backed claims affect closure or readiness,Raw or unresolved source material can be mistaken for reviewed evidence,open,planning_only_no_capex_activation
DEP-004,Closure and pointer safety,platform,architecture proven,VS-02;VS-04,TASK-0565;TASK-0570;TASK-0265,Preserve closure and pointer sequence tests plus project-scoped official pointer guards before officialness claims expand,Later evidence or latest artifacts can be misread as retroactive closure or official state,satisfied,planning_only_no_capex_activation
DEP-005,Procurement and workflow routing,product,system viable,VS-03,TASK-0571;TASK-0659;TASK-0586,Keep procurement escalation planning routed through canonical tasks and approvals; leave threshold signoff to TASK-0659,Workpages or planning notes can become editable status shortcuts for business decisions,open,planning_only_no_capex_activation
DEP-006,Fixture governance,qa,system viable,VS-01;VS-05,TASK-0589;TASK-0590;TASK-0591;TASK-0592,Use the three-project governance runbook and require sanitized fixture manifests and frozen validation protocols before fixture outcomes are treated as evidence,Overfit fixture demos can hide cross-project defects or leak sensitive corpus context,open,planning_only_no_capex_activation
DEP-007,Workpage guardrails,platform,system viable,VS-03,TASK-0567;TASK-0653;TASK-0588,Keep workpage commands behind projection cursor activation guardrails and accepted DoR or DoD quality checks,Workpage convenience controls can bypass canonical task approval artifact event or pointer truth,satisfied,planning_only_no_capex_activation
DEP-008,Storage restore and preflight evidence,ops,production ready,VS-05,TASK-0242;TASK-0388;TASK-0390;TASK-0599;TASK-0602,Run real restore and preflight evidence or record explicit waivers before any production-ready claim,Artifact or source storage can be unrecoverable or unauthorized after restore,blocked,planning_only_no_capex_activation
DEP-009,Production preflight,ops,production ready,VS-05,TASK-0599;TASK-0600;TASK-0601;TASK-0602;TASK-0603,Close production preflight blockers across capacity release storage raw-corpus and environment gates before activation,Runtime or product launch can proceed with unresolved safety and environment blockers,blocked,planning_only_no_capex_activation
DEP-010,Backlog and cadence quality,platform,business increment,VS-00;VS-03;VS-05,TASK-0585;TASK-0586;TASK-0587;TASK-0588,Use one authoritative backlog hierarchy with cadence first-90-day review and accepted DoR or DoD checks before roadmap commitments,Duplicate planning systems or demo-only stories can replace governed delivery evidence,satisfied,planning_only_no_capex_activation
