metric_id,category,name,definition,source,desired_direction,guardrail,owner,activation_posture
MG-OUT-001,outcome,False-green prevention rate,Share of reviewed fixture or validation cases where unsupported closure/status/promotion claims are rejected before official adoption,capex semantic tests and invariant audit,higher,No pass may rely on absence of contradiction; workpage state; generated text; external status; or unresolved SourceRefs,qa,planning_only_no_capex_activation
MG-OUT-002,outcome,Evidence-backed blocker resolution,Share of CAPEX blockers that end in canonical task or approval or artifact delta or event or pointer-request evidence rather than informal status text,task and approval evidence registers,higher,Resolved blockers must retain source_refs/evidence_refs and project scope,platform,planning_only_no_capex_activation
MG-OUT-003,outcome,Project-scope traceability coverage,Share of project-bound claims and artifacts with tenant/domain/project identity preserved through reads and provenance and pointers and exports,project isolation tests and schema parity,higher,No metric credit for cross-project visibility; null project identity in project-scoped officialness; or stale projection-only authorization,security,planning_only_no_capex_activation
MG-LRN-001,learning,Fixture learning questions answered,Count of accepted K12/K3/blind validation questions with expected behavior and source boundary and evidence oracle recorded,fixture governance manifests,higher,Questions must be answered with sanitized fixtures or aggregate evidence only,capex-product,planning_only_no_capex_activation
MG-LRN-002,learning,Blind-validation defect taxonomy coverage,Share of blind-validation defects classified by source-boundary or closure or project-isolation or workflow-routing or pointer or operability failure mode,validation holdout review,higher,Taxonomy cannot expose raw corpus details or retrofit tests to the holdout after baseline,qa,planning_only_no_capex_activation
MG-FLW-001,flow,Source-to-reviewed-evidence cycle,Time from source occurrence registration to reviewed evidence status for scoped fixture claims,source occurrence and evidence review logs,lower,"Cycle-time credit requires resolved SourceRefs, reviewed evidence status, and no raw corpus leakage",platform,planning_only_no_capex_activation
MG-FLW-002,flow,Blocker-to-task routing cycle,Time from surfaced blocker to canonical task/approval/flag/artifact-delta/event/pointer-request creation,task and approval event logs,lower,"Routing speed is ignored when actor authority, source binding, stale-basis checks, or audit evidence are missing",platform,planning_only_no_capex_activation
MG-QLT-001,quality,Semantic and invariant gate health,Pass/fail state and coverage of CAPEX semantic tests plus invariant hard gates,make capex-semantic-tests and invariant audit,higher,"Known gaps must remain explicit and cannot be hidden by aggregate pass counts",qa,planning_only_no_capex_activation
MG-QLT-002,quality,Isolation regression coverage,Coverage of tenant/domain/project authorization and artifact identity and provenance and SourceRef and pointer same-project tests,security and runtime tests,higher,No credit for frontend-only filtering or projection-only authorization,security,planning_only_no_capex_activation
MG-QLT-003,quality,Raw-corpus leak count,Count of raw corpus markers or files or paths or extracted text or screenshots or sensitive identifiers found in repo artifacts or logs,repo validation and leak scans,lower,Any confirmed raw corpus leak blocks CAPEX activation claims,security,planning_only_no_capex_activation
MG-OPS-001,operability,Restore and preflight evidence freshness,Age and completeness of restore rehearsal and backup and release and preflight evidence required for pilot readiness,preflight and restore evidence docs,lower,Fresh evidence does not waive production-readiness gates or storage/capacity decisions,platform,planning_only_no_capex_activation
MG-OPS-002,operability,Projection and audit rebuild readiness,Ability to rebuild advisory projections and invariant audit evidence from canonical state without granting stale access,projection parity tests and audit reports,higher,Rebuild readiness must preserve direct active membership; canonical artifacts; append-only events; and pointer truth,platform,planning_only_no_capex_activation
