source_task_id,repo_task_id,epic_id,status,source_priority,source_phase,source_area,original_depends_on,converted_depends_on,unresolved_dependency_notes,acceptance_gate,source_title,source_lineage,active_disposition,canonical_task_refs
MP-PR000,TASK-0233,EPIC-136,DONE,P0,P0 Source freeze,platform/readiness,none,,,Pass3 artifacts merged into plan; implementation PRs reference current-code findings.,Red-team integration update,capex_v6,active_task,
MP-PR001,TASK-0234,EPIC-137,DONE,P0,P1 Platform Foundation,platform/readiness,PR000/G0,TASK-0233,/G0,Clean release bundle test passes; PR CI runs no production secrets.,Release-bundle cleanliness + Cloud Build PR skeleton,capex_v6,active_task,
MP-PR002,TASK-0235,EPIC-137,DONE,P0,P1 Platform Foundation,platform/readiness,PR001,TASK-0234,,Storage safety tests pass; artifact download authorizes before read.,Artifact storage safety,capex_v6,active_task,
MP-PR003,TASK-0236,EPIC-137,DONE,P0,P1 Platform Foundation,platform/readiness,PR001,TASK-0234,,Handlers can run inside existing transaction; no nested transaction failures.,Transaction composition safety,capex_v6,active_task,
MP-PR004,TASK-0237,EPIC-137,DONE,P0,P1 Platform Foundation,platform/readiness,PR002;PR003,TASK-0235;TASK-0236,,Audit report generated; known gaps tracked; no accidental permanent-red CI.,Invariant audit harness and demo audit fixture,capex_v6,active_task,
MP-PR005,TASK-0238,EPIC-137,DONE,P0,P1 Platform Foundation,platform/readiness,PR002;PR003;PR004,TASK-0235;TASK-0236;TASK-0237,,"Generated artifact helper emits created event, validates digest/partition, enforces storage policy.",Canonical generated-artifact helper,capex_v6,active_task,
MP-PR006,TASK-0239,EPIC-137,DONE,P0,P1 Platform Foundation,platform/readiness,PR005,TASK-0238,,Run/input/edge helpers tested; activation drift test passes.,Shared run/input/edge effect helpers + LogisticsRunResolver,capex_v6,active_task,
MP-PR007,TASK-0240,EPIC-137,DONE,P0,P1 Platform Foundation,platform/readiness,PR001-PR006,TASK-0234;TASK-0235;TASK-0236;TASK-0237;TASK-0238;TASK-0239,,Branch gate matrix updated; engineering runtime constraints enforceable.,Platform Foundation v0 declaration and branch gate,capex_v6,active_task,
MP-PR008,TASK-0241,EPIC-138,DONE,P0,P10 Deployment/Logistics readiness,platform/readiness,PR001;PR007,TASK-0234;TASK-0240,,Release build produces digest-based image and release manifest; no deploy yet.,Release build pipeline,capex_v6,active_task,
MP-PR009,TASK-0242,EPIC-138,DONE,P0,P10 Deployment/Logistics readiness,platform/readiness,PR008,TASK-0241,,backup_manifest.json schema validated; lab scripts know DB/artifact/release tuple.,Backup manifest schema + predeploy backup skeleton,capex_v6,active_task,
MP-PR010,TASK-0243,EPIC-138,DONE,P0,P10 Deployment/Logistics readiness,platform/readiness,PR002;PR003;PR008,TASK-0235;TASK-0236;TASK-0241,,Shared_env-like lab auth smoke passes; actor switching false.,Lab-only pilot auth prototype,capex_v6,active_task,
MP-PR011,TASK-0244,EPIC-138,BLOCKED,P0,P10 Deployment/Logistics readiness,platform/readiness,PR002;PR003;PR008;PR009;PR010,TASK-0235;TASK-0236;TASK-0241;TASK-0242;TASK-0243,,Lab deploy succeeds; backup skeleton runs; no real users.,Lab VM deploy pipeline,capex_v6,active_task,
