record_type,source_id,name,category,phase,depends_on,status_or_priority,summary,evidence_or_owner,source_lineage,active_disposition,canonical_task_refs
gate,MG-000,Current repo/source baseline preserved,source freeze,P0,none,P0,Repo snapshot/tag and source manifest recorded; Pass1-3 artifacts preserved,baseline tag/hash; manifest,capex_v6,reference,
gate,MG-001,PR000-PR007 Platform Foundation complete,platform,P1,MG-000,P0,PF0 declared or explicit waiver,PR gate evidence; final gate status,capex_v6,reference,
gate,MG-002,Generic approval path domain-neutral,domain cleanup,P2,PR003,P0,approval.respond has no logistics side effects; domain hook tests pass,AT-CLEAN tests; code review,capex_v6,reference,
gate,MG-003,Project model and membership active,project/access,P3,MG-001,P0,project_id and project_membership enforced server-side,access tests; API contract,capex_v6,reference,
gate,MG-004,K12 raw data quarantine complete,data governance,P4,DATA-00,P0,No raw company data in repo/CI; raw manifest and sensitivity tags complete,manifest; scan result,capex_v6,reference,
gate,MG-005,Sanitized K12 fixture approved,data governance,P4,MG-004,P0,"Sanitized fixture, redaction manifest, expected-output manifest approved",approval record; scan result,capex_v6,reference,
gate,MG-006,Bulk ingest and indexing ready for realistic corpus,scale/corpus,P5,MG-003,P0,"staged ingest, digest/dedupe, document manifests, extraction/index contracts pass synthetic/K12 tests",benchmark report; ingest job logs,capex_v6,reference,
gate,MG-007,Generated artifact validation stack ready,validation,P6,PR005,P0,"schema, bundle, policy and source-ref validators pass",validator tests; schema manifest,capex_v6,reference,
gate,MG-008,Core workflow MVP passes fixture tests,workflow,P7,MG-006; MG-007,P0,"Intake, Corpus, Commitment, Assumption, Interface, Snapshot pass fixture tests",test report,capex_v6,reference,
gate,MG-009,Workpages are projection-consistent,workpage,P8,MG-008,P0,workpage commands create authoritative artifacts/tasks/flags/approvals/pointer requests; no hidden truth,projection consistency tests,capex_v6,reference,
gate,MG-010,Pointer promotion and stale/reopen policy safe,officialness,P9,MG-007; MG-009,P0,"expected generation, non-stale basis, approvals and blocking flags enforced",promotion policy tests,capex_v6,reference,
gate,MG-011,CEO transparency safe,risk,P9,MG-008,P0,CEO snapshot reports blockers/forecastability and drilldowns; no false precision,risk tests; CEO artifact sample,capex_v6,reference,
gate,MG-012,Capacity/storage/backup gate passed,deployment/scale,P10,MG-006,P0,"capacity benchmark, storage decision, backup/restore proof, quotas documented",benchmark; restore_proof; ADR,capex_v6,reference,
gate,MG-013,Docs/development flow gate passed,process/docs,P11,Pass3 accepted,P0,"task template, code review, refactor, docs tree and ADR index active",docs manifest; PR template,capex_v6,reference,
gate,GATE-000,GATE-000,reconciled branch gate,as-specified,,P1,Current repo snapshot/tag accepted; source manifest and pass outputs preserved.,must record snapshot hash/tag and risk owner,capex_v6,reference,
gate,PR000,PR000,reconciled branch gate,as-specified,,P0,Red-team integration update accepted or waived.,explicit waiver register entry required,capex_v6,reference,
gate,PR001,PR001,reconciled branch gate,as-specified,,P0,Release-bundle cleanliness + Cloud Build PR skeleton accepted.,waiver only for local exploratory branch,capex_v6,reference,
gate,PR002,PR002,reconciled branch gate,as-specified,,P0,Artifact storage safety and auth-before-read accepted.,no waiver for raw K12 data,capex_v6,reference,
gate,PR003,PR003,reconciled branch gate,as-specified,,P0,Transaction composition safety accepted.,no production waiver without compensating command receipts,capex_v6,reference,
gate,PR004,PR004,reconciled branch gate,as-specified,,P0,Invariant audit harness and demo audit fixture accepted.,must supply temporary invariant test harness,capex_v6,reference,
gate,PR005,PR005,reconciled branch gate,as-specified,,P0,Canonical generated-artifact helper accepted.,requires ADR and migration path to helper,capex_v6,reference,
gate,PR006,PR006,reconciled branch gate,as-specified,,P0,Shared run/input/edge/effect helpers accepted.,must prove pinned inputs/provenance another way,capex_v6,reference,
gate,PR007,PR007,reconciled branch gate,as-specified,,P0,Platform Foundation v0 declared.,waiver must be explicit and high-risk,capex_v6,reference,
gate,DATA-00,DATA-00,reconciled branch gate,as-specified,,P0,Private real data quarantine and manifest in place.,no raw company data in repo/CI ever,capex_v6,reference,
gate,DATA-01,DATA-01,reconciled branch gate,as-specified,,P0,Sanitized fixture extraction workflow accepted.,requires no-company-data attestations,capex_v6,reference,
gate,CLEAN-APPROVAL,CLEAN-APPROVAL,reconciled branch gate,as-specified,,P0,Logistics side effects extracted from generic approval.respond into domain hooks.,CAPEX must use isolated approval handler if not complete,capex_v6,reference,
gate,SCALE-INDEX,SCALE-INDEX,reconciled branch gate,as-specified,,P1,Project-scoped pagination and batch link hydration accepted for target pages.,only small demo with explicit volume cap,capex_v6,reference,
gate,BACKUP-RESTORE,BACKUP-RESTORE,reconciled branch gate,as-specified,,P1,Backup/restore and deployment gate proven for pilot data.,no production waiver,capex_v6,reference,
gate,SPB2-G001,No raw real-project data in repo/CI/release/logs,data_governance,any sanitized fixture merge,real-project corpus quarantine policy,P0,"All fixture files are sanitized/synthetic or approved manifests; scans show no raw K3/K12 content, raw filenames, raw identifiers, or raw documents.","policy, scan evidence, triage/export reports, expected-output manifest where applicable",capex_v6,reference,
gate,SPB2-G002,Archive metadata-only profiling,ingest_safety,extracting real project corpus text,real-project corpus quarantine policy,P0,Large/split/nested archives can be profiled without extracting source documents into output artifacts.,"policy, scan evidence, triage/export reports, expected-output manifest where applicable",capex_v6,reference,
gate,SPB2-G003,Source triage complete before extraction,ingest_safety,corpus text extraction,real-project corpus quarantine policy,P0,Every source occurrence has initial triage state and extraction policy decision.,"policy, scan evidence, triage/export reports, expected-output manifest where applicable",capex_v6,reference,
gate,SPB2-G004,Shortcut and nested archive guardrails,ingest_safety,corpus baseline promotion,real-project corpus quarantine policy,P1,Shortcuts are not dereferenced automatically; nested archives preserve container provenance and bounded recursion.,"policy, scan evidence, triage/export reports, expected-output manifest where applicable",capex_v6,reference,
gate,SPB2-G005,K3 formalism negative tests,formalism_regression,CAPEX MVP pilot,real-project corpus quarantine policy,P0,"External authority, standards, replacement measures, procedures/training, lifecycle obligations, and handover/acceptance do not falsely close project state.","policy, scan evidence, triage/export reports, expected-output manifest where applicable",capex_v6,reference,
gate,SPB2-G006,K3 shadow regression remains off-repo,fixture_governance,using K3 as reference corpus,real-project corpus quarantine policy,P0,K3 archive stays in quarantine/off-repo; only sanitized metadata/fixtures enter master packs.,"policy, scan evidence, triage/export reports, expected-output manifest where applicable",capex_v6,reference,
gate,SPC-G001,Full deployment/branch collision review complete,branch_deployment_safety,before final CAPEX runtime branch point when deployment roadmap is active,current deployment roadmap and branch policy,P0,"Full Safety Pass C completed or explicit waiver records collision owner, compensating controls, and expiry.",deployment roadmap inventory; branch collision matrix; branch point recommendation,capex_v6,reference,
gate,SPD-G001,Full real-corpus backup/restore rehearsal complete,capacity_restore_safety,before controlled pilot readiness,sanitized fixture; selected storage/index topology; running test environment,P0,"Real blob ingest, extraction, search/index, DB restore, artifact-root restore, digest checks, and auth-before-read after restore all pass.",Safety Pass D result pack; restore logs; query latency report,capex_v6,reference,
gate,SPD-G002,Metadata-only rehearsal not used as pilot evidence,capacity_restore_safety,before pilot readiness messaging,D0 completed,P0,"Any pilot claim references full D evidence, not only D0 metadata restore.",validation report distinguishing D0 and full D,capex_v6,reference,
gate,SPB3-G001,Post-research formalism regression completed,architecture_research_safety,before adopting external research architecture choices,open-source research result packs,P0,"Each external architecture pattern is accepted, rejected, or deferred against CAPEX invariants and master requirements.",B3 regression result; adopted/rejected decision register; ADR updates,capex_v6,reference,
gate,QG-00,Task packet complete,engineering quality,All / phase-specific,current phase gate,P0,"Task template filled, risk tier classified, dependencies and affected boundaries named.",All code tasks; PR/task/phase evidence in QUALITY_OVERLAY templates,capex_v6,reference,
gate,QG-01,Design/ADR decision,engineering quality,All / phase-specific,current phase gate,P0,"Design note or ADR exists, or explicit not-needed record accepted.",Tier 3+; PR/task/phase evidence in QUALITY_OVERLAY templates,capex_v6,reference,
